lfc,names,ambiguousNames
SPDX,"[""EUPL-1.1"",""European Union Public License 1.1""]",[]
SPDX,"[""EUPL-1.2"",""European Union Public License 1.2""]",[]
SPDX,"[""Entessa"",""Entessa Public License v1.0""]",[]
SPDX,"[""ErlPL-1.1"",""Erlang Public License v1.1""]",[]
SPDX,"[""Eurosym"",""Eurosym License""]",[]
SPDX,"[""FSFAP"",""FSF All Permissive License""]",[]
SPDX,"[""FSFUL"",""FSF Unlimited License""]",[]
SPDX,"[""FSFULLR"",""FSF Unlimited License (with License Retention)""]",[]
SPDX,"[""FTL"",""Freetype Project License""]",[]
SPDX,"[""Fair"",""Fair License""]",[]
SPDX,"[""Frameworx-1.0"",""Frameworx Open License 1.0""]",[]
SPDX,"[""FreeImage"",""FreeImage Public License v1.0""]",[]
SPDX,"[""GFDL-1.1-invariants-only"",""GNU Free Documentation License v1.1 only - invariants""]",[]
SPDX,"[""GFDL-1.1-invariants-or-later"",""GNU Free Documentation License v1.1 or later - invariants""]",[]
SPDX,"[""GFDL-1.1-no-invariants-only"",""GNU Free Documentation License v1.1 only - no invariants""]",[]
SPDX,"[""GFDL-1.1-no-invariants-or-later"",""GNU Free Documentation License v1.1 or later - no invariants""]",[]
SPDX,"[""GFDL-1.1-only"",""GNU Free Documentation License v1.1 only""]",[]
SPDX,"[""GFDL-1.1-or-later"",""GNU Free Documentation License v1.1 or later""]",[]
SPDX,"[""GFDL-1.2-invariants-only"",""GNU Free Documentation License v1.2 only - invariants""]",[]
SPDX,"[""GFDL-1.2-invariants-or-later"",""GNU Free Documentation License v1.2 or later - invariants""]",[]
SPDX,"[""GFDL-1.2-no-invariants-only"",""GNU Free Documentation License v1.2 only - no invariants""]",[]
SPDX,"[""GFDL-1.2-no-invariants-or-later"",""GNU Free Documentation License v1.2 or later - no invariants""]",[]
SPDX,"[""GFDL-1.2-only"",""GNU Free Documentation License v1.2 only""]",[]
SPDX,"[""GFDL-1.2-or-later"",""GNU Free Documentation License v1.2 or later""]",[]
SPDX,"[""GFDL-1.3-invariants-only"",""GNU Free Documentation License v1.3 only - invariants""]",[]
SPDX,"[""GFDL-1.3-invariants-or-later"",""GNU Free Documentation License v1.3 or later - invariants""]",[]
SPDX,"[""GFDL-1.3-no-invariants-only"",""GNU Free Documentation License v1.3 only - no invariants""]",[]
SPDX,"[""GFDL-1.3-no-invariants-or-later"",""GNU Free Documentation License v1.3 or later - no invariants""]",[]
SPDX,"[""GFDL-1.3-only"",""GNU Free Documentation License v1.3 only""]",[]
SPDX,"[""GFDL-1.3-or-later"",""GNU Free Documentation License v1.3 or later""]",[]
SPDX,"[""GL2PS"",""GL2PS License""]",[]
SPDX,"[""GLWTPL"",""Good Luck With That Public License""]",[]
SPDX,"[""GPL-1.0-only"",""GNU General Public License v1.0 only""]",[]
SPDX,"[""GPL-1.0-or-later"",""GNU General Public License v1.0 or later""]",[]
SPDX,"[""GPL-2.0-only"",""GNU General Public License v2.0 only""]",[]
SPDX,"[""GPL-2.0-or-later"",""GNU General Public License v2.0 or later""]",[]
SPDX,"[""GPL-3.0-only"",""GNU General Public License v3.0 only""]",[]
SPDX,"[""GPL-3.0-or-later"",""GNU General Public License v3.0 or later""]",[]
SPDX,"[""Giftware"",""Giftware License""]",[]
SPDX,"[""Glide"",""3dfx Glide License""]",[]
SPDX,"[""Glulxe"",""Glulxe License""]",[]
SPDX,"[""HPND"",""Historical Permission Notice and Disclaimer""]",[]
SPDX,"[""HPND-sell-variant"",""Historical Permission Notice and Disclaimer - sell variant""]",[]
SPDX,"[""HaskellReport"",""Haskell Language Report License""]",[]
SPDX,"[""Hippocratic-2.1"",""Hippocratic License 2.1""]",[]
SPDX,"[""IBM-pibs"",""IBM PowerPC Initialization and Boot Software""]",[]
SPDX,"[""ICU"",""ICU License""]",[]
SPDX,"[""IJG"",""Independent JPEG Group License""]",[]
SPDX,"[""IPA"",""IPA Font License""]",[]
SPDX,"[""IPL-1.0"",""IBM Public License v1.0""]",[]
SPDX,"[""ISC"",""ISC License""]",[]
SPDX,"[""ImageMagick"",""ImageMagick License""]",[]
SPDX,"[""Imlib2"",""Imlib2 License""]",[]
SPDX,"[""Info-ZIP"",""Info-ZIP License""]",[]
SPDX,"[""Intel"",""Intel Open Source License""]",[]
SPDX,"[""Intel-ACPI"",""Intel ACPI Software License Agreement""]",[]
SPDX,"[""Interbase-1.0"",""Interbase Public License v1.0""]",[]
SPDX,"[""JPNIC"",""Japan Network Information Center License""]",[]
SPDX,"[""JSON"",""JSON License""]",[]
SPDX,"[""JasPer-2.0"",""JasPer License""]",[]
SPDX,"[""LAL-1.2"",""Licence Art Libre 1.2""]",[]
SPDX,"[""LAL-1.3"",""Licence Art Libre 1.3""]",[]
SPDX,"[""LGPL-2.0-only"",""GNU Library General Public License v2 only""]",[]
SPDX,"[""LGPL-2.0-or-later"",""GNU Library General Public License v2 or later""]",[]
