,,,,,,,,,,,,,,,,,,,,,,,,
"CNRI-Python","CNRI Python 1.6","CNRI Python License","scancode://cnri-python-1.6","CNRI LICENSE AGREEMENT FOR PYTHON 1.6.1","CNRI portion of the multi-part Python License","License :: OSI Approved :: Python License (CNRI Python License)",,,,,,,,,,,,,,,,,,
"Info-ZIP","Info-ZIP License","Info-Zip License","scancode://info-zip","Info-ZIP license (Version 2007-Mar-04)","Info-ZIP license (version 2009-Jan-02)","Info-ZIP copyright and license (version 2005-Feb-10)",,,,,,,,,,,,,,,,,,
"LPPL 1.3c","LPPL-1.3c","lppl-1.3c","scancode://lppl-1.3c","LaTeX Project Public License 1.3c","LaTeX Project Public License v1.3c","LaTeX Project Public License, Version 1.3c",,,,,,,,,,,,,,,,,,
"Python-2.0","scancode://python","Python License 2.0","Python License, Version 2.0","Python Software Foundation License 2","PYTHON SOFTWARE FOUNDATION LICENSE VERSION 2","License :: OSI Approved :: Python Software Foundation License",,,,,,,,,,,,,,,,,,
"VSL-1.0","scancode://vsl-1.0","Vovida Software License 1.0","Vovida Software License v1.0","Vovida Software License, Version 1.0","The Vovida Software License, Version 1.0","License :: OSI Approved :: Vovida Software License 1.0",,,,,,,,,,,,,,,,,,
"EFL 2.0","EFL-2.0","scancode://efl-2.0","Eiffel Forum License 2.0","Eiffel Forum License v2.0","Eiffel Forum License, Version 2","License :: OSI Approved :: Eiffel Forum License",,,,,,,,,,,,,,,,,,
"CPAL 1.0","CPAL-1.0","cpal_1.0","scancode://cpal-1.0","Common Public Attribution License 1.0","Common Public Attribution License Version 1.0","Common Public Attribution License Version 1.0 (CPAL-1.0)",,,,,,,,,,,,,,,,,,
"CC-BY-SA 4.0","CC-BY-SA-4.0","cc-by-sa-4.0","scancode://cc-by-sa-4.0","Creative Commons Attribution Share-Alike 4.0","Creative Commons Attribution-ShareAlike 4.0 International","Creative Commons Attribution Share Alike 4.0 International",,,,,,,,,,,,,,,,,,
"cddl1","CDDL 1.0","CDDL-1.0","scancode://cddl-1.0","Common Development and Distribution License 1.0","Common Development and Distribution License, Version 1.0","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.0 governed by the laws of the State of California",,,,,,,,,,,,,,,,,,
"EPL 1.0","EPL-1.0","epl-1.0","eclipse-1.0","scancode://epl-1.0","Eclipse Public License 1.0","Eclipse Public License, Version 1.0",,,,,,,,,,,,,,,,,,
"EPL 2.0","EPL-2.0","epl-2.0","eclipse-2.0","scancode://epl-2.0","Eclipse Public License 2.0","Eclipse Public License - v 2.0",,,,,,,,,,,,,,,,,,
"MPL 1.0","MPL-1.0","scancode://mpl-1.0","Mozilla Public License 1.0","Mozilla Public License Version 1.0","Mozilla Public License, Version 1.0","License :: OSI Approved :: Mozilla Public License 1.0 (MPL)",,,,,,,,,,,,,,,,,,
"SPL 1.0","SPL-1.0","scancode://spl-1.0","Sun Public License 1.0","Sun Public License v1.0","Sun Public License, Version 1.0","License :: OSI Approved :: Sun Public License",,,,,,,,,,,,,,,,,,
"ODbL","ODbL 1.0","ODbL-1.0","odbl-1.0","scancode://odbl-1.0","ODC Open Database License v1.0","Open Data Commons Open Database License 1.0",,,,,,,,,,,,,,,,,,
"CATOSL-1.1","ca-tosl1.1","scancode://ca-tosl-1.1","CA Trusted Open Source License 1.1","Computer Associates Trusted Open Source License 1.1","Computer Associates Trusted Open Source License, Version 1.1","Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1)",,,,,,,,,,,,,,,,,,
"BSD-4-Clause","BSD-Original","bsd-4-clause","BSD License (original)","scancode://bsd-original","BSD 4-Clause ""Original"" or ""Old"" License",,,,,,,,,,,,,,,,,,,
"ECL 1.0","ECL-1.0","scancode://ecl-1.0","Educational Community License 1.0","Educational Community License v1.0","Educational Community License, Version 1.0",,,,,,,,,,,,,,,,,,,
"MS-PL","Ms-PL","ms-pl","scancode://ms-pl","Microsoft Public License","Microsoft Public License (MS-PL)",,,,,,,,,,,,,,,,,,,
"Clear BSD","Clear BSD License","BSD-3-Clause-Clear","bsd-3-clause-clear","scancode://clear-bsd","BSD 3-Clause Clear License",,,,,,,,,,,,,,,,,,,
"Entessa","Entessa 1.0","Entessa Public License","scancode://entessa-1.0","Entessa Public License 1.0","Entessa Public License v1.0",,,,,,,,,,,,,,,,,,,
